epoch,train_loss_regularized,xtest_recursive_200_mae_real,xtest_recursive_200_mse_real,xtest_recursive_200_rmse_real,xtest_recursive_200_r2_real,best_xtest_recursive_200_mae_real_so_far,learning_rate,epochs_without_improvement,swa_active
1,0.7960793638910566,40.32283217464087,2684.826970094383,51.8153159798759,-0.6094740105840275,40.32283217464087,0.0006807314093247821,0,False
2,0.36154032448359896,34.79839412625057,2236.990398339217,47.296832857382924,-0.3410092896699457,34.79839412625057,0.0006807314093247821,0,False
3,0.2685564558335713,47.91509967530262,4093.7269569008163,63.982239386417355,-1.4540676985703405,34.79839412625057,0.0006807314093247821,1,False
4,0.1979941747358867,33.86084060541583,2319.2742933458094,48.15884439379551,-0.3903360403238545,33.86084060541583,0.0006807314093247821,0,False
5,0.17199399923426764,48.60916832074599,4149.468982050015,64.41637200316403,-1.4874833867224164,33.86084060541583,0.0006807314093247821,1,False
6,0.1539193525314331,48.18301423722743,4027.729670178403,63.464396870831465,-1.4145042857575394,33.86084060541583,0.0006807314093247821,2,False
7,0.1363949784381049,44.96653378722968,3498.17896889422,59.14540530670341,-1.097054371667367,33.86084060541583,0.0006807314093247821,3,False
8,0.11779543352127075,49.119560402292755,4339.119610661802,65.87199412999277,-1.6011733046357723,33.86084060541583,0.0006807314093247821,4,False
9,0.14075390689713616,35.63762550174846,2269.7983423485375,47.64240067784722,-0.3606766774799841,33.86084060541583,0.0006807314093247821,5,False
10,0.12598173442908694,60.41886568167586,6137.572803725085,78.34266273062899,-2.6792925673402346,33.86084060541583,0.0006807314093247821,6,False
11,0.109582145852702,48.694178388607185,4403.1746674897,66.35642144879198,-1.6395724083245145,33.86084060541583,0.0006807314093247821,7,False
12,0.1199264645235879,52.080782806389465,4958.3368159253905,70.41545864315158,-1.97237562414435,33.86084060541583,0.0006807314093247821,8,False
13,0.10653522350958415,42.11361514128746,3135.153701962246,55.992443257659744,-0.8794315085106399,33.86084060541583,0.00034036570466239107,9,False
14,0.09774449944496155,46.30425561389891,3939.3161241649873,62.76397154550521,-1.3615029914182002,33.86084060541583,0.00034036570466239107,10,False
15,0.09626117731843675,48.805021815987715,4151.748724557651,64.43406493895641,-1.4888500246315752,33.86084060541583,0.00034036570466239107,11,False
16,0.10623052216427667,60.7380716352114,6693.303028295909,81.81260922557054,-3.01243632792728,33.86084060541583,0.00034036570466239107,12,False
17,0.09041573074885777,20.100778870299553,1454.3439693372877,38.13586198497797,0.12816399448799787,20.100778870299553,0.00034036570466239107,0,False
18,0.0916336293390819,40.44211840553532,3292.3607345098117,57.37909666864591,-0.9736724543833826,20.100778870299553,0.00034036570466239107,1,False
19,0.08895344374861036,46.901518733494704,3890.568885586988,62.374424931914106,-1.3322804700218698,20.100778870299553,0.00034036570466239107,2,False
20,0.0869897117955344,56.257701611257765,5896.433087131702,76.78823534325882,-2.5347364707650417,20.100778870299553,0.00034036570466239107,3,False
21,0.09551648162092481,18.31584576379397,579.8765440426995,24.080625906373353,0.6523812382027734,18.31584576379397,0.00034036570466239107,0,False
22,0.08422399531091962,46.278272166387396,3980.966592382847,63.0949014769248,-1.3864712098069423,18.31584576379397,0.00034036570466239107,1,False
23,0.08943576616900308,44.53907426722053,3514.0808656997547,59.27968341430101,-1.1065870864056278,18.31584576379397,0.00034036570466239107,2,False
24,0.08630936701808657,20.313040377492612,1085.4191300381615,32.9456997199659,0.34932347602060443,18.31584576379397,0.00034036570466239107,3,False
25,0.08211723121574947,50.27834340364341,4411.973294894402,66.422686597987,-1.6448469240733568,18.31584576379397,0.00034036570466239107,4,False
26,0.08028907534054347,25.97010563376888,1599.8717663159766,39.99839704683147,0.04092440338447345,18.31584576379397,0.00034036570466239107,5,False
27,0.08387113726139069,42.137528177418766,3214.99763586843,56.70094916197109,-0.9272955749686262,18.31584576379397,0.00034036570466239107,6,False
28,0.08373021901505334,57.45784317355414,5772.049639980759,75.97400634414878,-2.4601722892493676,18.31584576379397,0.00034036570466239107,7,False
29,0.08318153021165303,38.470146941499216,2792.0185273322504,52.83955457166771,-0.6737321648152155,18.31584576379397,0.00034036570466239107,8,False
30,0.07587088176182338,36.49058198999831,2596.400458212043,50.95488649984458,-0.5564649435914448,18.31584576379397,0.00017018285233119554,9,False
31,0.07665347852877208,23.01537900725441,1105.5853477295234,33.25034357310498,0.3372344275912056,18.31584576379397,0.00017018285233119554,10,False
32,0.07452985434872764,37.87025105873192,2731.583793938543,52.2645558092532,-0.637503337476548,18.31584576379397,0.00017018285233119554,11,False
33,0.07405043418066842,44.70900293407087,3450.680609499273,58.74249406944919,-1.0685805162409006,18.31584576379397,0.00017018285233119554,12,False
34,0.07625270550591605,15.45562113518411,531.4678608170176,23.05358672348009,0.6814008057228327,15.45562113518411,0.00017018285233119554,0,False
35,0.07806758994715554,47.92757227667838,3934.6714797701848,62.726959752328064,-1.3587186650816783,15.45562113518411,0.00017018285233119554,1,False
36,0.07235049951076508,47.85545840913505,4133.001861076569,64.28842711621252,-1.4776118368865725,15.45562113518411,0.00017018285233119554,2,False
37,0.07145073513473783,28.83403363945943,1473.8213939422617,38.390381529001004,0.11648785705195552,15.45562113518411,0.00017018285233119554,3,False
38,0.06974948586736407,25.977806094013413,1514.9823773024173,38.92277453243046,0.09181307029431085,15.45562113518411,0.00017018285233119554,4,False
39,0.07160707315376827,11.266002636222066,518.5334838334007,22.771330304428872,0.6891545804837795,11.266002636222066,0.00017018285233119554,0,False
40,0.0714299401640892,36.63635730844871,2465.4137139031072,49.65293258109844,-0.47794228159329144,11.266002636222066,0.00017018285233119554,1,False
41,0.06744213711789676,49.85661800746803,4474.865719852557,66.89443713682444,-1.6825490644944203,11.266002636222066,0.00017018285233119554,2,False
42,0.06928899745430266,46.281459839883574,3656.144228549075,60.466058483657385,-1.1917498521663243,11.266002636222066,0.00017018285233119554,3,False
43,0.07143171773638043,29.86895470408357,2397.182955431099,48.96103507311808,-0.4370399688162143,11.266002636222066,0.00017018285233119554,4,False
44,0.06873281311988831,26.6625267772567,2286.0360905635002,47.8125097705977,-0.37041072516107976,11.266002636222066,0.00017018285233119554,5,False
45,0.0689367219720568,33.63955004705308,2077.7494728633865,45.58233729048332,-0.24554908540743892,11.266002636222066,0.00017018285233119554,6,False
46,0.0680541033744812,23.908221724685713,1437.5391592921178,37.914893634192325,0.13823797889063216,11.266002636222066,0.00017018285233119554,7,False
47,0.07043652721813747,46.725131065595754,3784.0654815286375,61.51475824164993,-1.2684348431788783,11.266002636222066,0.00017018285233119554,8,False
48,0.06834190906797137,33.859429574279964,2555.0726809331195,50.54772676325929,-0.5316901688344353,11.266002636222066,8.509142616559777e-05,9,False
49,0.06378797950063433,47.804135739217635,3958.7852879277607,62.918878628975584,-1.3731741767247478,11.266002636222066,8.509142616559777e-05,10,False
50,0.06476542616741998,48.1339317230644,4063.95697712059,63.74917236420086,-1.4362214800670299,11.266002636222066,8.509142616559777e-05,11,False
51,0.0642703629391534,40.88521451511491,3328.9006791034008,57.69662623675149,-0.9955770656773815,11.266002636222066,8.509142616559777e-05,12,False
52,0.0634627633179937,48.8048085391707,4056.9966342726593,63.69455733634279,-1.432048961300167,11.266002636222066,8.509142616559777e-05,13,False
53,0.0673862908227103,29.554219891479644,1801.1493038732692,42.439949385847164,-0.07973550104185345,11.266002636222066,8.509142616559777e-05,14,False
54,0.06495419514179229,42.34501502229918,3592.553320651909,59.93791221465683,-1.1536289919731129,11.266002636222066,8.509142616559777e-05,15,False
55,0.06259387440340859,28.556030051318718,1924.0903122270129,43.86445385761702,-0.15343498334904582,11.266002636222066,8.509142616559777e-05,16,False
56,0.062094508400985175,37.48281333098494,3687.796537539971,60.727230609834095,-1.210724471113195,11.266002636222066,8.509142616559777e-05,17,False
57,0.06534656250476838,27.499906860666226,1322.2398900696915,36.36261665597914,0.2073564656012682,11.266002636222066,4.2545713082798884e-05,18,False
58,0.06343994000979833,44.72434152650736,3821.9060916294375,61.82156655754881,-1.2911191648056608,11.266002636222066,4.2545713082798884e-05,19,False
59,0.060117984090532574,29.57376657102991,1909.7186074636277,43.70032731529167,-0.14481957328273465,11.266002636222066,4.2545713082798884e-05,20,False
60,0.06007443397385733,38.56967164265405,3000.072062415703,54.77291358341003,-0.7984540784643388,11.266002636222066,4.2545713082798884e-05,21,False
61,0.05909184954421861,44.24104397405388,3777.828235685511,61.464040183553756,-1.264695799585398,11.266002636222066,4.2545713082798884e-05,22,False
62,0.06033006623813084,30.6836065565503,1621.8881021044135,40.272671901730256,0.027726264117221233,11.266002636222066,4.2545713082798884e-05,23,False
63,0.06031590922815459,45.49865911273017,3842.2141703425523,61.9855964748469,-1.3032932547033442,11.266002636222066,4.2545713082798884e-05,24,False
64,0.061671489447355274,37.913136509584746,2878.746847518146,53.65395463074596,-0.7257232163338545,11.266002636222066,4.2545713082798884e-05,25,False
65,0.05996052811826978,24.634112693233195,2334.5661392317875,48.31734822226679,-0.39950304765858524,11.266002636222066,4.2545713082798884e-05,26,False
66,0.060123150178364344,44.41577436770632,3697.114885686749,60.803905184508906,-1.2163105440076007,11.266002636222066,2.1272856541399442e-05,27,False
67,0.060767582433564324,29.557772987090466,2245.3269534371207,47.38488106387016,-0.34600680679761586,11.266002636222066,2.1272856541399442e-05,28,False
68,0.0602492401429585,18.278898279283514,769.9011979673454,27.747093504858224,0.5384671032255052,11.266002636222066,2.1272856541399442e-05,29,False
69,0.05905036073071616,16.755071968225515,752.1317459010269,27.425020435744926,0.5491193618632575,11.266002636222066,2.1272856541399442e-05,30,False
70,0.05907634315320424,22.99120734782741,1003.643274698989,31.680329460076468,0.39834567198619786,11.266002636222066,2.1272856541399442e-05,31,False
71,0.060051907126392634,23.5034571912085,1030.9359114329498,32.10819072188512,0.38198454704484774,11.266002636222066,2.1272856541399442e-05,32,False
72,0.060029984316655564,28.583040550111914,1948.5736633836414,44.142651295358796,-0.16811202504205713,11.266002636222066,2.1272856541399442e-05,33,False
73,0.061773381096976145,42.33931045663645,3506.3221044356737,59.214205258836955,-1.1019359395168484,11.266002636222066,2.1272856541399442e-05,34,False
74,0.06133970320224762,40.58415104165817,3260.6664637704,57.10224569813695,-0.9546726806148316,11.266002636222066,2.1272856541399442e-05,35,False
75,0.06106972394670759,24.202478816674258,1533.0852909980715,39.154633071937624,0.08096091131589567,11.266002636222066,1.0636428270699721e-05,36,False
76,0.06032159953457968,25.831836102247767,1568.071845099726,39.59888691743401,0.059987511475336985,11.266002636222066,1.0636428270699721e-05,37,False
77,0.058962007931300575,28.26873378046884,1709.1010609088016,41.34127551139178,-0.02455531385607501,11.266002636222066,1.0636428270699721e-05,38,False
78,0.058828249420438496,35.1545850489112,2608.5691159267926,51.07415311022585,-0.5637596923978805,11.266002636222066,1.0636428270699721e-05,39,False
79,0.0603733172757285,42.66867412247394,3580.395149028819,59.83640320932416,-1.146340529267118,11.266002636222066,1.0636428270699721e-05,40,False
